number,created_at,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,rule_id,rule_severity,security_severity_level,rule_tags,rule_description,rule_name,tool_name,tool_version,most_recent_instance_ref,most_recent_instance_state,most_recent_instance_sha,instances_url,repo_name,repo_owner,repo_owner_type,repo_owner_isadmin,repo_url,repo_isfork,repo_isprivate
1,2025-02-28T20:27:03Z,https://github.com/mgil-lab-org/sample-django-app/security/code-scanning/1,open,,,,,py/url-redirection,error,medium,"['external/cwe/cwe-601', 'security']",URL redirection from remote source,py/url-redirection,CodeQL,2.20.5,refs/heads/main,open,19e8b0c46068adf83ef4e68a554341f3def689a1,https://api.github.com/repos/mgil-lab-org/sample-django-app/code-scanning/alerts/1/instances,mgil-lab-org/sample-django-app,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/sample-django-app,True,False
89,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/89,open,,,,,js/server-side-unvalidated-url-redirection,warning,medium,"['external/cwe/cwe-601', 'security']",Server-side URL redirect,js/server-side-unvalidated-url-redirection,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/89/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
88,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/88,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/88/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
87,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/87,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/87/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
86,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/86,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/86/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
85,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/85,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/85/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
84,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/84,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/84/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
83,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/83,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/83/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
82,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/82,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/82/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
81,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/81,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/81/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
